"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Liverpool FC",4237,2007,1049,1181,"7092:5097",1995,7070,"Latest news »"
"2",2,NA,"Arsenal FC",4234,1932,1081,1221,"7014:5304",1710,6877,"Latest news »"
"3",3,NA,"Everton FC",4618,1873,1157,1588,"7146:6400",746,6776,"Latest news »"
"4",4,NA,"Manchester United",3881,1862,959,1060,"6695:4918",1777,6545,"Latest news »"
"5",5,NA,"Aston Villa",4172,1678,986,1508,"6741:6227",514,6020,"Latest news »"
"6",6,NA,"Manchester City",3723,1526,884,1313,"5940:5301",639,5462,"Latest news »"
"7",7,NA,"Chelsea FC",3500,1440,900,1160,"5389:4864",525,5220,"Latest news »"
"8",8,NA,"Tottenham Hotspur",3495,1457,842,1196,"5523:4871",652,5213,"Latest news »"
"9",9,NA,"Newcastle United",3566,1366,870,1330,"5318:5175",143,4968,"Latest news »"
"10",10,NA,"Sunderland AFC",3340,1260,780,1300,"5143:5121",22,4560,"Latest news »"
"11",11,NA,"West Bromwich Albion",3146,1105,776,1265,"4644:4996",-352,4091,"Latest news »"
"12",12,NA,"Blackburn Rovers",2720,1017,651,1052,"4306:4348",-42,3702,"Latest news »"
"13",13,NA,"Bolton Wanderers",2802,1017,641,1144,"4156:4467",-311,3692,"Latest news »"
"14",14,NA,"Wolverhampton Wanderers",2563,998,582,983,"4188:4113",75,3576,"Latest news »"
"15",15,NA,"Sheffield Wednesday",2582,980,612,990,"3976:4020",-44,3552,"Latest news »"
"16",16,NA,"Derby County",2468,906,585,977,"3764:3910",-146,3303,"Latest news »"
"17",17,NA,"West Ham United",2576,881,639,1056,"3648:4027",-379,3282,"Latest news »"
"18",18,NA,"Sheffield United",2432,892,574,966,"3590:3864",-274,3250,"Latest news »"
"19",19,NA,"Leeds United",2125,869,536,720,"3170:2899",271,3143,"Latest news »"
"20",20,NA,"Burnley FC",2274,863,521,890,"3451:3595",-144,3110,"Latest news »"
"21",21,NA,"Middlesbrough FC",2438,818,614,1006,"3426:3766",-340,3065,"Latest news »"
"22",22,NA,"Nottingham Forest",2178,800,549,829,"3069:3171",-102,2949,"Latest news »"
"23",23,NA,"Stoke City",2372,778,583,1011,"3055:3659",-604,2917,"Latest news »"
"24",24,NA,"Birmingham City",2306,724,583,999,"3049:3656",-607,2755,"Latest news »"
"25",25,NA,"Leicester City",2191,723,566,902,"3240:3643",-403,2735,"Latest news »"
"26",26,NA,"Preston North End",1720,671,390,659,"2701:2569",132,2403,"Latest news »"
"27",27,NA,"Southampton FC",1785,587,493,705,"2339:2598",-259,2254,"Latest news »"
"28",28,NA,"Huddersfield Town",1336,492,334,510,"1924:1988",-64,1810,"Latest news »"
"29",29,NA,"Portsmouth FC",1356,484,322,550,"2021:2208",-187,1765,"Latest news »"
"30",30,NA,"Coventry City",1390,430,396,564,"1604:1954",-350,1686,"Latest news »"
"31",31,NA,"Blackpool FC",1172,415,282,475,"1788:1941",-153,1527,"Latest news »"
"32",32,NA,"Ipswich Town",1084,402,265,417,"1442:1500",-58,1471,"Latest news »"
"33",33,NA,"Charlton Athletic",1050,355,253,442,"1424:1651",-227,1318,"Latest news »"
"34",34,NA,"Notts County",1068,341,253,474,"1403:1712",-309,1276,"Latest news »"
"35",35,NA,"Norwich City",1081,312,315,454,"1214:1640",-426,1251,"Latest news »"
"36",36,NA,"Fulham FC",1074,310,276,488,"1355:1759",-404,1206,"Latest news »"
"37",37,NA,"Queens Park Rangers",936,299,249,388,"1143:1310",-167,1146,"Latest news »"
"38",38,NA,"Bury FC",804,279,180,345,"1176:1340",-164,1017,"Latest news »"
"39",39,NA,"Crystal Palace",862,241,233,388,"922:1267",-345,956,"Latest news »"
"40",40,NA,"Cardiff City",706,241,167,298,"931:1136",-205,890,"Latest news »"
"41",41,NA,"Luton Town",658,213,168,277,"863:1011",-148,807,"Latest news »"
"42",42,NA,"Wimbledon FC",554,186,171,197,"702:754",-52,729,"Latest news »"
"43",43,NA,"Watford FC",542,165,123,254,"687:860",-173,618,"Latest news »"
"44",44,NA,"Oldham Athletic",484,159,129,196,"604:713",-109,606,"Latest news »"
"45",45,NA,"Grimsby Town",488,167,97,224,"756:940",-184,598,"Latest news »"
"46",46,NA,"Bradford City",468,152,126,190,"584:671",-87,582,"Latest news »"
"47",47,NA,"Bristol City",358,114,94,150,"428:510",-82,436,"Latest news »"
"48",48,NA,"Swansea City",350,113,83,154,"415:503",-88,422,"Latest news »"
"49",49,NA,"Brighton & Hove Albion",347,90,110,147,"356:490",-134,380,"Latest news »"
"50",50,NA,"Wigan Athletic",304,85,76,143,"316:482",-166,331,"Latest news »"
